stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,0,0,8.17,0,4.09,0
72hpf,0,0,0,0,0,2.14,4.28,1.07
21Day,1.34,0,0,1.34,2.68,0,0,0
22Month,0,0.55,0.55,0.55,0,0,0,0
