stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,4.28,0,0,1.07,0,0,3.21,0,0,0,2.14,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,1.34,0,6.69,0,4.02,10.71,0,0,16.06,0,0,0,1.34,0,1.34,0,0,1.34,0,0,8.03
3Month,0,0.32,0.64,0.32,0,0,23.04,4.48,21.12,1.92,0.96,0.32,7.04,0.96,0,0.32,0,0,0.32,0.32,0,0,0.64,0.96,9.92
22Month,0,0.55,0.55,0.55,0.55,0.55,40.45,6.56,19.68,2.73,1.09,0,15.31,2.19,0.55,0,0,0.55,0,0,0,0,0,0,3.83
