stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,1.34,1.34,0,0,0,0
3Month,0,0.64,0.32,0.64,0.32,0.64,1.6,29.44,0.96,0.32,0.32,0.64,0.32,0.64,0,0.32,0,26.88,1.28,0.32,0.64,41.91,0.64
22Month,0,0,0,0.55,0,0,0.55,4.92,0,0,1.09,0,0,0.55,0,0,0.55,2.73,0,0,0,0,0
