stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,4.09,0,12.26,0,0,0,8.17,0,0,0,0,20.43,4.09,4.09,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,24.61,1.07,2.14,0,1.07,0,0,7.49,0,0
21Day,4.02,1.34,10.71,4.02,0,0,0,0,0,6.69,0,1.34,1.34,1.34,5.35,182.04,2.68,0,5.35,2.68,2.68,0,2.68,1.34,1.34
3Month,0,0,0,0,0,0,0,1.6,0.32,0,0.32,0.32,0.32,0.32,0,1.92,0.64,0,0,0,0,0.32,0,0,0
22Month,0,0,0,0,1.64,0.55,0,7.65,0,0,1.64,0,0,0,0,1.09,0,0,0,0,0,6.56,0,0,0
