stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,4.28,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,46.85,2.68,0,0,0,0,1.34,0,0,0,17.4,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.96,0.32,76.15,0,0,0.96,0.96,0,4.8,1.92,1.28,0.64,37.75,0.96,4.16,2.56,0,0.32,0.32,1.28,0,0,0,1.92,0.32,0.32,0.32,7.04,0.96
22Month,0,2.19,0.55,19.68,0,1.64,1.09,1.64,0.55,40.45,1.09,4.92,1.09,15.85,1.09,4.37,0.55,0,0,1.64,0,0.55,0,0.55,0,0,0,0,0,0
