stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,0,0,2.68,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0,16.06
3Month,1.6,0.96,0.64,1.28,0.32,0.32,1.6,1.6,1.28,1.28,0,0.32,0.32,0,0.32,0,0,0.64,0.32,0.32,108.14
22Month,1.64,0.55,1.64,4.92,0.55,0.55,1.09,0,2.19,1.64,0.55,0,0,0,0,0,1.09,0,0,0,71.61
