stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,2.14,0,17.12,5.35,0,0,0,0,0
21Day,2.68,0,5.35,2.68,1.34,0,0,0,1.34,4.02,4.02,1.34,6.69,4.02,5.35,2.68,0,1.34,1.34
3Month,0,0.32,0.64,0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0.64,0,0
22Month,0,0,0.55,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
