stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,32.69,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,3.21,0,6.42,0,7.49,0,0,0,0,0,0,0,1.07,4.28,8.56,0,88.79,0,10.7,6.42,3.21,188.28,35.3,0,0,40.65,3.21,0,5.35,1.07,3.21,0,0
21Day,16.06,9.37,0,44.17,1.34,14.72,1.34,0,2.68,0,21.42,1.34,4.02,5.35,9.37,30.79,0,192.75,0,0,45.51,0,145.9,10.71,6.69,2.68,64.25,14.72,1.34,12.05,5.35,4.02,0,1.34
3Month,0,3.52,0,7.04,0.64,0,0,0.32,0,0,16.32,1.28,0,0.32,5.76,0.32,0.64,9.6,2.24,0,6.72,0.32,0.64,0.32,2.56,0.32,0,0.64,0.64,0,0,0.32,1.28,0.64
22Month,0,2.19,0.55,1.64,0,0,0,0,0.55,1.09,13.12,0,0,0,0,0,1.09,4.37,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0.55,0,0
