stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,1.07,0,0,4.28,1.07,0,0,0,0,4.28,3.21,2.14,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0
3Month,2.24,0.32,0.64,1.28,0.64,0.96,0.32,0.64,0.32,0,0.32,26.24,0,0,0.64,0.32,0.32
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
