stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,28.6,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,2.14,0,5.35,2.14,8.56,0,0,0,0,0,0,0,0,0,0,3.21,34.23,7.49,16.05,0,3.21,2.14,1792.97,66.33,0,10.7,17.12,0,0,21.4,3.21,1.07,5.35,0,0,0
21Day,8.03,1.34,2.68,32.12,1.34,16.06,0,9.37,0,0,0,0,0,1.34,4.02,5.35,4.02,5.35,6.69,20.08,0,0,0,667.93,17.4,4.02,16.06,8.03,24.09,4.02,18.74,1.34,6.69,4.02,0,0,4.02
3Month,0,1.6,0.32,5.44,0,0,0,0.32,3.2,2.24,0,0,4.16,0.32,0,1.28,0,1.28,0.64,23.04,0.64,0,0.96,14.72,2.24,2.56,1.28,0,0.32,9.6,3.2,0,0,13.12,0.64,1.6,1.28
22Month,0,3.83,0,7.11,0,0,0.55,0,5.47,2.73,1.09,0,18.04,1.09,1.09,2.73,0,0,1.64,12.57,0,0.55,1.09,19.68,1.64,17.49,5.47,0,0.55,23.51,16.4,0.55,0,9.29,0,0,0
