stage,Epithelial_cell,Neural_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,4.09,0,0,0,0
72hpf,0,20.33,0,1.07,0
21Day,2.68,6.69,2.68,0,1.34
