stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,5.35,0,0,0,0,0,5.35,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,16.06,0,1.34,0,0,10.71,1.34,0
3Month,0,0,1.28,0,0.32,0,0.32,2.88,0,0.64,1.92,0.64,1.6,0,0,0.64,0.64,0,0.32,10.24,0,0,0,1.28
22Month,0.55,1.09,6.01,0,0,0.55,1.64,12.57,0.55,1.09,1.09,1.64,5.47,0.55,1.64,0,1.64,0.55,0,16.95,1.09,0,0,0
