stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,6.42,2.14,0,0,2.14,0,0,0,0
21Day,1.34,0,0,5.35,0,1.34,0,1.34,0,1.34,0,1.34,0,0,0,0,2.68,1.34,4.02,0,0,0,0,2.68,0,0,0,0,0,0,0,1.34
3Month,0,2.88,0.64,13.76,0.64,0,0.32,0.32,2.56,4.48,0,9.28,3.84,0.64,1.28,1.28,3.52,6.4,6.72,0.64,0,3.52,0.32,1.6,0.64,0.32,0.32,0,1.6,0.64,0.96,5.44
22Month,0,2.19,0,3.83,0,0,0,1.09,0,2.19,0.55,38.81,1.64,1.09,3.83,0.55,1.09,2.73,5.47,0,0.55,0.55,0,0.55,0,0,0,0,1.64,0.55,1.09,2.73
