stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0
21Day,0,0,1.34,0,0,0,1.34,0
3Month,0.32,0,1.92,0,0,0,0,1.92
22Month,0,0.55,2.19,1.09,1.64,0,0,4.92
