stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,14.98,1.07,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,5.35,0,0,0,0,0,0,21.42,0,0,2.68,5.35,2.68,0,0,1.34,0,10.71,2.68,0,0,1.34,2.68,0,0,1.34,0,0,0,105.74
3Month,0.32,0,2.56,0.32,0.32,1.6,0,4.48,1.92,0,2.56,0.64,2.88,1.92,1.6,0.32,0,0.32,0.32,0.64,0,0,0,0,0.96,2.24,0.32,0,0.32,0.96,8.64,94.7
22Month,3.83,3.28,29.52,0,7.11,3.83,1.09,26.79,1.09,3.83,51.39,0.55,3.28,18.04,3.83,0,1.64,0,0,1.64,0,0.55,0,0,0,4.92,0,0,0,0,0,51.39
