stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,8.17,24.52,302.39,0,0,0,4.09,0,0,0,4.09,28.6,24.52,44.95,8.17,20.43,3918.86,4.09,0,4.09,0,0,0,4.09
72hpf,3.21,2.14,20.33,2.14,0,0,0,0,0,0,3.21,147.63,0,10.7,0,256.75,84.51,0,1.07,7.49,1.07,0,71.68,0
21Day,1.34,0,9.37,2.68,2.68,0,0,0,0,4.02,0,4.02,0,5.35,0,33.46,29.45,1.34,0,1.34,1.34,0,8.03,1.34
3Month,0,0,3.52,0,0.32,0.32,0,0.32,0.32,0,0,1.28,0,0,0,0,0.32,0,0,0,0,0.32,0.64,0
22Month,0,0,0.55,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
