stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,1.34,0,24.09,0,0,2.68,5.35,5.35,0,0,0,0,9.37,1.34,0,1.34,0,4.02,0,1.34,5.35,0,0,194.09
3Month,1.92,6.4,0,0,0,0.32,1.92,1.92,0,11.84,4.48,0.64,2.24,0.96,2.24,2.88,3.2,0.96,0,0.64,0.64,0.64,0,1.6,0,0,0.64,5.12,0.32,0,2.24,5.44,261.08
22Month,2.73,3.83,0.55,0,1.09,0.55,0,7.65,0.55,23.51,0.55,2.19,3.83,0.55,1.09,8.2,7.65,0,0.55,0.55,0,0,0.55,0.55,0,0,2.19,1.64,0,0,0,0,137.21
