stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,12.84,0,0,0,0,0,0,0,0
21Day,0,0,5.35,0,1.34,0,0,0,1.34,0,6.69,0,0,10.71,0,0,0,2.68,0,4.02,0,0,0,0,0,0,0,0
3Month,0.32,0.96,233.56,0.32,0,1.28,1.92,5.12,3.52,3.52,0.32,4.16,3.52,12.48,6.08,0.96,0.32,7.36,0.32,9.28,0.32,0.32,1.92,1.6,0,0.32,3.84,1.92
22Month,0,0.55,9.29,0,0,0,0,4.92,6.01,0,0,0.55,0.55,1.09,1.09,1.64,0,8.2,0,5.47,0,0.55,0,0,0.55,0,0,1.09
