stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,118.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,131.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,10.7,11.77,0,0,1.07,0,0,0,0,0,0,0,0
21Day,108.42,0,0,4.02,6.69,1.34,0,0,0,2.68,0,0,0,0,2.68,1.34,12.05,0,0,1.34,2.68,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0,0,6.08,0,0.32,0.32,1.92,0,57.27,1.92,0,4.48,0.32,1.6,2.24,1.6,0.32,0,0,0,0,0.32,0.32,0.32,1.28,30.72,0,0,0,0.64,6.08,2.56
22Month,0.55,1.09,0.55,2.73,0,1.09,0.55,0.55,0.55,52.48,0.55,1.64,4.37,1.09,0.55,0.55,1.09,0,1.64,0.55,0,0,0,0,0.55,0.55,8.2,1.64,2.19,0,0,0.55,0
