stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,9.37,2.68,0,0,0,0,1.34,0,0,0,5.35
3Month,0,0.32,3.84,0.64,0.32,0,3.52,0.32,0.32,0.96,0.32,0.96,2.88,0.32,0.64,0,0.96,0.64,0,0,2.56,4.8,0.32,0.32,133.74,8.96
22Month,0,0.55,0.55,0,0.55,0,1.64,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0.55,4.37,13.67,0,0,1.09,3.83
