stage,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,14.98,1.07,0,1.07,0
21Day,0,0,0,0,1.34,0,8.03,0,2.68,0,1.34
3Month,0.64,0.64,0.32,0,0.64,0,0,0,0,0,0
22Month,0,4.92,0,0.55,0,0.55,0,0,0,0,0.55
