stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,16.35,0,0,4.09,0,0,0,0,0,0,0,4.09,24.52,4.09,290.13,0,0,4.09,179.8,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,7.49,8.56,2.14,1.07,0,0,0,0,0,0,0,0,0,0,9.63,0,11.77,1.07,0,7.49,4.28,0,0,12.84,0,0,1.07,0,1.07,0,0,0
21Day,40.16,2.68,1.34,0,2.68,0,0,0,0,0,0,1.34,0,0,1.34,0,14.72,2.68,0,1.34,2.68,0,0,5.35,0,1.34,0,0,0,0,0,0
3Month,1.28,0.96,4.8,0,0,0,0.32,0.64,0.32,7.04,0.96,0,1.28,0.32,1.92,1.6,5.12,1.6,0.32,0.64,0.32,0.32,0,0.64,2.24,67.83,0,0.32,0.32,0.32,69.43,1.28
22Month,0,0.55,0.55,0,0,0,0,1.64,0,8.2,0.55,0,1.09,0,0,0,0,0,0,0,0,0,4.37,0,0,34.99,0.55,0,0,0,0,0.55
