stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,0
72hpf,4.28,0,4.28,0,0,0,0,0,6.42,0,7.49,0,6.42,1.07,0,8.56,0,1.07,0
21Day,44.17,0,0,1.34,0,0,0,0,0,1.34,20.08,0,1.34,1.34,0,2.68,0,0,0
3Month,0.32,0.32,0,0,0,0.32,0.32,0,0.32,0.32,0.64,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0.55,0,0.55,1.64,2.19,1.09,0,0,2.19,0,0,0,1.64,0,2.19,0,0
