stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,4.09,0,0,0,4.09,4.09,4.09,0,4.09,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.91,5.35,0,0,0,3.21,0,0,1.07,1.07,1.07,0,0,0
21Day,0,1.34,4.02,4.02,0,0,0,0,0,0,0,2.68,48.19,0,1.34,5.35,5.35,0,0,0,0,37.48,4.02,2.68,0,0,1.34,1.34,5.35,0,0,0,0,0,0
3Month,7.68,12.16,35.19,0,1.6,19.2,3.84,0,0,142.38,3.52,0,351.62,2.56,5.12,39.67,5.44,1.28,0.64,2.24,29.12,1.28,0.64,11.84,0.32,0,0,6.4,23.36,0,0,0,0,5.44,15.36
22Month,16.95,13.67,33.89,0,3.83,16.4,2.73,1.64,0,215.38,1.09,2.19,466.84,1.64,7.11,52.48,2.73,0,12.57,1.64,1.09,1.09,0,4.37,1.09,1.09,1.64,2.19,39.36,0.55,0.55,0,2.19,0,12.03
