stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell
3Month,0,0.96,0.96,0.32,0.32,0
22Month,0.55,26.24,4.92,0.55,0.55,1.09
