stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,9.63,0,0,1.07,8.56,3.21,6.42,0,0,4.28,0,0,0,0,0
21Day,2.68,0,10.71,1.34,0,0,0,0,0,0,0,1.34,4.02,0,30.79,0,1.34,0,13.39,4.02,9.37,1.34,0,1.34,1.34,0,0,0,0
3Month,0,0.64,6.08,0,0.64,0.32,0,1.92,0.32,0,0.96,1.6,1.28,0.96,6.08,1.6,0.64,2.24,0,0.32,0.96,0.32,0.64,0,0,0.32,0.64,0.96,0.64
22Month,0,0.55,1.09,0,0,0,0.55,5.47,0,0.55,1.09,0.55,0.55,1.64,3.28,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55
