stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,20.43,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,0,0,0,0,0,0,0,0,6.42,5.35,1.07,8.56,0,0,0,13.91,4.28,0,0,1.07,0,0,1.07,0,0,0
21Day,0,2.68,0,4.02,1.34,0,0,0,0,0,0,0,0,0,1.34,2.68,0,1.34,0,1.34,2.68,0,0,0,0,0,0,0,0,0
3Month,0.32,1.92,0.64,5.12,0,0.96,1.92,0,7.68,2.24,0.32,8.64,1.28,2.24,2.24,0.64,0,0,0.96,0,0,0.32,0,0.32,1.6,143.66,0,1.28,131.18,1.28
22Month,0,0,0.55,1.09,0,0,1.64,2.19,15.85,0.55,0,49.75,0,0.55,2.19,0,0.55,0.55,0,0,0,0,1.09,0,0,22.41,0,0,0,0.55
