stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,0,0,0,0,0,0,0,0,1.07,3.21,1.07,2.14,0,0,0,0,8.56,8.56,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,1.34,4.02,0,4.02,0,0,0,0,0,0,0,1.34,0,2.68,0,0,1.34,0,13.39,5.35,0,0,4.02,0,1.34,2.68,1.34,0,0,0
3Month,0.32,0.32,8,0,0,0.64,1.28,1.28,0,19.2,2.56,4.8,0.96,2.88,1.92,2.88,0.32,0,0,0.64,0.32,1.28,0.96,0.64,0,0.64,48.31,0,0.32,0.32,25.28,0.32
22Month,0.55,0.55,2.19,0,0.55,1.09,0,0,1.09,39.36,0.55,6.01,0,1.09,3.28,2.19,1.09,1.64,0.55,0,0,0,0,0.55,0,0,13.67,0,0,0,0,0.55
