stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,8.17,0,0,4.09,0,0,4.09,0,0,8.17,53.12,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,11.77,0,0,0,0,0,0,0,1.07,2.14,0,4.28,0,0,17.12,10.7,0,1.07,0,1.07,1.07,0,1.07,1.07,0,0,0,0
21Day,1.34,0,6.69,14.72,0,6.69,0,0,0,1.34,0,0,0,0,5.35,0,0,12.05,4.02,0,0,0,4.02,9.37,1.34,0,0,0,0,0,1.34
3Month,0,0,1.28,0,0,0,0.32,0,0,0.32,0,0.64,0.32,0.32,0.96,0.32,0.32,0,0,0.32,0,0,0,0.96,11.52,0,0,0,0.32,4.16,0.32
22Month,0,0.55,0,0,0.55,0.55,1.09,1.09,0,3.28,3.83,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
