stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,4.28,3.21,0,0,7.49,4.28,0,0,0,0,0,1.07,0,1.07,0,0,11.77,7.49,17.12,0,52.42,0,22.47,0,0
21Day,0,22.76,0,1.34,0,1.34,0,0,0,0,0,0,0,2.68,6.69,0,14.72,5.35,2.68,2.68,62.91,0,4.02,0,1.34
3Month,0,11.84,0.32,0.96,0,0,0.32,0.32,39.99,0.96,0.32,0,0.64,0.64,0.64,0.32,0.64,0,0,1.28,0.32,0,0.32,1.28,0.64
22Month,0,8.2,0,0.55,0,0,1.09,0,1.64,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0.55
