stage,Epithelial_cell,Erythrocyte__Liver_,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,1.07,0,1.07
21Day,2.68,0,0,0,1.34,0
3Month,0.32,0.32,0.32,0,0,0
