stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,1.34,4.02,1.34,0,0,0,0,0,20.08,1.34,0,0,2.68,1.34,0,1.34,0,4.02,0,0,0,0,0,0,1.34,0,0,0,9.37
3Month,0,2.56,0.32,3.84,0,0.96,1.92,4.8,0,11.84,15.04,5.12,1.6,0.64,1.28,12.48,1.28,0,1.6,0.32,0,0,0.32,0,0,0.64,4.48,0,0,4.48,3.52,33.59
22Month,0.55,7.11,0,2.19,0,2.73,0,30.61,7.11,16.95,7.65,15.31,1.09,0,0.55,25.15,2.19,1.09,3.28,0,0,0.55,1.09,1.09,0.55,0,6.01,0,0.55,0,0,10.93
