stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,8.17,0,0,0,0,0,4.09,0,0,0,0,8.17,16.35,0,20.43,0,0,0,0,0,241.1,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,2.14,3.21,0,0,0,0,0,0,0,2.14,0,1.07,3.21,0,13.91,0,0,1.07,1.07,200.05,113.4,0,6.42,2.14,0,3.21,9.63,0,2.14,0,0,0
21Day,8.03,1.34,6.69,4.02,0,5.35,1.34,0,0,0,0,8.03,0,0,2.68,1.34,16.06,0,0,1.34,0,26.77,22.76,0,1.34,1.34,2.68,1.34,4.02,5.35,0,0,0,8.03
3Month,0,0,5.76,0,0.32,0.64,0.32,1.6,0,2.88,0.64,1.6,1.28,0,1.92,1.92,4.16,0.32,0,0,0,0.64,0.32,0,0,0,36.15,0,0,0,0,0.64,4.16,1.92
22Month,0,0.55,2.19,0,0.55,1.09,0.55,1.64,0,7.65,0.55,1.64,5.47,0,0.55,1.64,3.28,0,0.55,0.55,0,0,0,0.55,0,0,19.68,0,0,0,0,0,0,1.64
