stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,11.77,0,3.21,2.14,1.07,4.28,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,4.02,2.68,0,0,0
3Month,0,0.32,0.64,0.32,0,1.92,0,0.64,0,0.32,0.64,0.32,0,0,0,0.32
22Month,0,0,0.55,0,1.09,8.75,0.55,0.55,0.55,0.55,0.55,0,0,0,0,0.55
