stage,Epithelial_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
3Month,1.6,0.32,0.96,3.2,0.64,0.32,0.32,0.96,0.64,1.28,0.32,0,1.28,86.71,0.96,67.51,0.32
22Month,0,0,0.55,2.19,0,0,0,0,0,0,0,0,0,15.85,0,0,0
