stage,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,1.07,0,0,2.14,1.07,1.07,1.07,0,0
21Day,1.34,1.34,0,2.68,0,2.68,1.34,1.34,2.68
3Month,0,0,0.64,0,0,0,0,0,0
