stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,96.37,0,0,0,0,0,0,1.34,2.68,0,1.34,0,0,0,1.34,1.34,2.68,0,0,0,0
3Month,0.64,0,37.75,0.32,0.64,2.88,1.6,0.32,0.32,0,0.96,0.96,0.32,0.32,0,0.64,0,0,0,1.92,0.64,0.64,0.32
22Month,0,1.09,9.29,0.55,2.73,20.77,1.64,0,3.28,0,1.09,4.37,1.64,0,0.55,0,0,0,0,2.73,0.55,0,0
