stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,1.34,0,0,0,0,0,0,1.34,1.34
3Month,0.64,0,0,0,0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.96
22Month,0,0,0.55,1.64,8.2,0.55,0,0,0,0,0,0.55,0,0,0.55
