stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,8.17,24.52,0,0,0,0
72hpf,0,0,0,0,2.14,3.21,2.14,73.82,2.14,2.14,2.14,0,4.28
21Day,1.34,0,1.34,0,0,0,2.68,32.12,1.34,0,0,1.34,1.34
22Month,0,0.55,0,3.28,0,0,0,0,0,0,0,0,0
