stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0
21Day,2.68,1.34,0,0,2.68,0,9.37,0,2.68,0,0,0,0,1.34,0,0,2.68
3Month,1.28,0,0,0,0,0.64,0,0.32,0.32,0,0,0,0,0,0.64,0.32,0.32
22Month,1.09,0,3.83,6.01,0,1.09,0.55,4.37,0,0.55,0,0,0.55,0,0,0,0
