stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,11.77,0,0,0,0,0,0
21Day,12.05,0,0,0,0,1.34,5.35,1.34,0,1.34,0,1.34,1.34
3Month,9.28,0.32,0,0.96,0.32,0.64,1.92,0,0,0,0,0,0
22Month,3.28,0.55,1.09,2.73,0,0,0.55,0,0.55,0,0.55,0,0
