stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,9.6,0,4.48,0,0.32,0,0,2.56,0.64,0,2.56,0,0.96,0.32,0,0.64,0,0.32,2.24,0.32,2.56
22Month,7.65,0.55,3.83,0,0,0.55,1.09,12.57,0.55,0.55,0.55,1.09,0,0,0,0,0,0.55,0,0,0
