stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,40.86,0,0
72hpf,0,0,0,0,0,2.14,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,1.34,0
3Month,0,0.32,0.32,0,0,0,0,0,0.32
