stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,126.68,4.09,4.09,0,0,0,0,0,0,61.3,0,0,0,0,24.52,73.56,12.26,28.6,0,0,0,0,4.09,715.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,8.56,6.42,1.07,0,0,0,0,0,0,0,1.07,0,0,0,11.77,38.51,0,4.28,0,4.28,0,0,13.91,16.05,0,0,2.14,9.63,0,1.07,3.21,4.28,0,0,0
21Day,4.02,0,1.34,57.56,5.35,4.02,0,1.34,0,0,0,0,0,6.69,0,0,4.02,8.03,16.06,2.68,13.39,0,0,0,0,14.72,4.02,0,0,2.68,2.68,1.34,2.68,2.68,1.34,0,0,0
3Month,0.96,4.16,14.4,159.33,1.28,0,2.88,0,0.64,29.44,6.4,0,0,414.97,4.48,1.28,138.54,16.96,42.55,13.12,14.72,1.28,0.64,9.6,16,3.84,0.96,10.56,0.96,0.64,11.84,24.32,0.96,0,0,3.84,4.48,8.64
22Month,0.55,5.47,5.47,39.36,1.09,0,8.75,0.55,0.55,6.56,4.92,28.43,0,840.21,2.19,1.64,35.53,4.37,5.47,13.67,10.39,0.55,15.85,7.11,0,1.09,0,7.65,3.83,1.64,5.47,10.93,1.64,0,0,0.55,0,5.47
