stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,102.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,98.07,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,55.63,4.28,0,0,0,0,0,0,0,0,1.07,0,1.07,59.91,3.21,14.98,0,0,2.14,0,27.81,48.14,0,0,66.33,0,0,13.91,1.07,11.77,0,0,0
21Day,0,0,0,68.27,5.35,2.68,0,0,0,0,0,0,0,1.34,0,1.34,25.43,1.34,13.39,0,0,5.35,0,2.68,9.37,0,0,26.77,2.68,0,8.03,0,0,0,0,0
3Month,0.32,4.48,0.32,96.62,0.64,0,0,2.88,2.56,3.52,0.32,8.32,2.24,6.4,3.2,10.24,26.56,14.72,55.67,7.04,0,3.2,0.96,2.88,2.24,2.56,1.28,10.24,0.96,10.24,0.64,0.32,2.56,19.52,40.95,4.8
22Month,0,3.28,0.55,86.37,1.64,0,2.19,0,0.55,20.23,0,18.59,0.55,12.57,0.55,1.09,6.01,19.68,38.27,1.64,0.55,0.55,0,3.28,0.55,13.12,3.83,2.19,0,1.64,1.09,0.55,0,4.92,0,0
