stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,84.51,6.42,1.07,0,0,1.07,26.74,52.42,0,0
21Day,2.68,1.34,22.76,1.34,22.76,0,4.02,0,0,0,1.34,0,8.03,2.68,1.34,10.71,4.02,20.08,1.34,4.02,360.07,8.03,9.37,6.69,0,5.35,178.02,724.15,0,2.68
3Month,0,0,1.6,0,0,0,0,0.32,0,0,0.96,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,3.52,0,0,0.32,1.92,0.96,0.96,0.64,1.6,0.96
22Month,0,0,1.09,0,0,0.55,0,0,1.64,0.55,11.48,0.55,0,2.19,0,0,2.19,1.09,0,0,6.56,0,0,0,1.64,2.73,2.19,0,0,0
