stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,1.07,0,0,1.07,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,5.12,0.32,1.28,0.64,7.36,0.96,0.32,3.84,0.32,2.24,0.64,0.32,0.32,0,0.96,0,0,0.64,0,8.32,0.32,0,0.64
22Month,0,3.28,0,1.09,1.09,3.83,0,0.55,1.64,0.55,0.55,2.19,1.09,0,0.55,0,0.55,0,0,0,10.93,0,0,3.83
