stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,57.21,0,0,0,0,0,8.17,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,11.77,11.77,0,0,3.21,0,0,0,0,0,0
21Day,0,0,0,8.03,1.34,6.69,0,2.68,0,0,0,0,0,1.34,0,0,1.34,0,4.02,0,0,0,2.68,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0,0,0,4.16,0,0,0.64,0.64,0.96,0.96,0,5.12,0.32,0,3.2,1.92,1.92,2.88,2.88,0.32,0,0.64,0,0,0.64,0.96,0,9.92,0.32,0,0.64,9.28,0.96
22Month,0,1.09,0.55,2.19,0,0,0,0,0,1.09,1.64,18.04,0,0,2.19,0,0,2.19,1.09,0,1.09,0,0.55,0,0,0,0,3.28,1.09,0,0,0,0.55
