stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell
72hpf,5.35,0,0,0,2.14
21Day,0,1.34,0,1.34,0
22Month,0,0,1.09,0,0
