stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,4.02,0,0,0,0,4.02,0,2.68,1.34,0,0,0,0,0,1.34
3Month,0,2.88,0,0.96,0.64,2.24,0,3.84,0.32,1.6,0.32,0.32,0,0,0.64,0.32
22Month,0.55,0,0,0,0,1.64,0,1.09,0,0,0,0.55,0,0,0,0.55
