stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell
24hpf,0,0,0,0,4.09,4.09,0
3Month,0.32,0.32,0,0,0,0,0
22Month,0,2.73,0.55,0.55,0,0,0.55
