stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,4.02,0,2.68,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,23.36,4.16,4.16,0.32,0.32,0.64,0.64,85.43,1.6,0,4.16,0.64,1.28,94.07,3.84,0.32,0,0,70.07,0,0.64,0.32,0.32,2.24,0.32,1.92,1.6
22Month,0.55,151.42,0,3.83,0,0,0.55,13.12,25.15,2.73,0.55,1.09,0.55,1.09,424.2,7.11,0,2.19,0.55,0,0,0.55,0.55,0.55,0.55,0,0,0
