stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,7.49,2.14,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,0,0,0,1.34,1.34,2.68,0,0,0,17.4,2.68,4.02,0,0,2.68,0,0,0,0
3Month,0,1.28,0.32,4.48,0,0.64,0.32,0,6.4,1.6,0,4.8,0.96,15.04,1.28,0.96,0.64,0,1.28,0.32,0,1.92,0,0.64,9.6,0,9.28,0.96,0.64
22Month,0,0,0,3.28,0.55,0.55,1.09,2.19,21.32,0.55,0.55,1.64,0,2.73,1.09,1.64,0,0.55,0.55,0,0,2.73,0.55,0,1.64,0.55,0.55,0,1.09
