stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,16.35,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,3.21,2.14,0,0,0,0,0,0,0,0,2.14,5.35,1.07,8.56,0,4.28,0,196.84,27.81,0,1.07,6.42,0,0,3.21,2.14,1.07,0,0,0
21Day,4.02,0,0,6.69,2.68,0,0,0,0,2.68,0,0,2.68,0,8.03,2.68,12.05,0,0,0,103.07,4.02,0,0,2.68,2.68,0,0,8.03,25.43,0,0,2.68
3Month,0.32,0.32,0.64,7.04,0,0.32,1.6,1.92,0,90.87,1.6,0.32,7.04,0.64,3.2,2.88,5.76,1.28,0.64,0.96,5.12,0,1.28,0.32,0,1.6,9.92,0,0,0,0.96,4.8,1.6
22Month,0.55,4.37,1.64,5.47,0,0.55,2.19,4.37,3.83,342.75,0,1.64,13.12,0.55,1.64,5.47,18.04,1.09,7.11,2.19,49.75,0.55,1.09,1.09,1.09,1.09,32.25,1.09,0,0,1.09,1.64,4.92
