stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,18.19,0,0,2.14,1.07,0,0,0,0,0,0,0,0,1.07,41.72,0,1.07,0,0,1.07,1.07,0,0,0,1.07,0,0,0,0
21Day,17.4,0,0,28.11,2.68,0,0,1.34,0,0,0,2.68,0,1.34,8.03,2.68,1.34,0,0,0,2.68,0,0,0,1.34,0,0,0,1.34
3Month,1.92,0,0,52.15,0,0.96,2.24,5.12,0,4.8,27.2,2.24,10.24,1.92,10.24,7.68,1.92,0,0.64,0.96,0,0.32,0.64,0,0,3.84,0.32,0.32,7.36
22Month,0,1.64,0.55,9.29,0,0,0.55,12.57,0.55,32.8,8.75,2.73,9.84,0,1.64,13.67,7.11,1.64,0,0,0,0,0,0.55,0,0.55,0,0,1.09
