stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,8.17,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,175.72,106.25,0,0,0,0,0,77.64,0,0,44.95,0,0,0,0,0,0,0,0,0
72hpf,2.14,6.42,0,25.67,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,21.4,52.42,126.24,1.07,0,2.14,0,13.91,7.49,0,0,169.03,0,0,2.14,1.07,0,0,0,0,0
21Day,13.39,8.03,0,36.14,0,9.37,0,0,0,0,0,0,0,4.02,0,0,28.11,36.14,307.86,0,0,16.06,0,4.02,8.03,0,0,84.33,10.71,0,0,1.34,4.02,2.68,1.34,0,5.35
3Month,0.96,23.68,0,46.71,0.96,0,0,2.24,0.32,5.76,0,9.6,2.88,0,3.84,3.52,55.67,39.03,145.9,30.4,0.32,3.2,0.64,0.32,0.64,0,0,1.6,3.84,18.24,0,0.32,0,0,2.88,4.8,1.6
22Month,1.64,88.56,2.19,41,0.55,0,3.28,2.19,1.64,9.84,14.76,13.67,1.64,1.09,3.28,4.37,29.52,46.47,314.33,7.65,0.55,9.29,0,0,0,1.64,0.55,2.19,2.19,2.73,2.19,0.55,0,0,1.09,0.55,0.55
