stage,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,2.14,0,1.07,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,2.88,0.32,0.64,1.28,3.84,0.64,1.6,0,0,1.92,1.28,0.32,0,0.64,0,0,0,0.96,37.75,0.32,165.09,0.32
22Month,0,1.09,0,0,0,9.29,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,6.56,0,0.55,0
