stage,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,49.04,0,0
72hpf,0,0,0,0,0,2.14,2.14,1.07,0,1.07,0,5.35,6.42,3.21,0
21Day,1.34,0,0,0,0,0,0,0,2.68,0,0,1.34,1.34,2.68,1.34
3Month,0.96,0.96,0,0.32,0.32,0,0,0,0.32,0,0.32,0,0,0,0
