stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,0,1.07,0,0,2.14,0,0,0,0,0,0,0
21Day,2.68,1.34,2.68,0,1.34,0,0,1.34,0,0,0,2.68,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.96,5.76,0.64,0,1.28,0.96,12.16,1.6,2.56,0.32,0.96,2.88,0.64,0,1.28,0.32,0,0,0.96,0.32,0,0.64,1.92,0.32,0.32,0.64,0.32,0.32
22Month,0,1.09,2.19,0,0,1.09,4.37,9.84,0,1.64,0,0,1.64,0.55,0.55,0,0,0,0,0.55,0.55,0,0,1.09,0.55,0,0,0,0.55
