stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,4.09,0,0,24.52,0,0,20.43,151.2,0,0,8.17,0,0,0,0,0,12.26,0,0
72hpf,5.35,5.35,8.56,3.21,2.14,0,0,0,0,0,1.07,0,0,10.7,2.14,46,0,2.14,144.42,57.77,1.07,0,23.54,0,0,11.77,0,0,2.14,0,0
21Day,1.34,1.34,30.79,0,2.68,0,0,0,0,0,2.68,2.68,0,4.02,2.68,32.12,0,6.69,62.91,14.72,0,1.34,5.35,5.35,0,8.03,0,4.02,1.34,0,1.34
3Month,0,2.24,6.4,0,0,0.32,0.32,0,4.8,0.64,0,1.92,0,3.84,2.24,3.2,0.64,0.96,0.32,0,0,0.64,0,0,5.76,0.32,0,0,0,1.28,0.32
22Month,0,4.37,5.47,0,0,0,1.09,3.83,31.71,0.55,0.55,2.19,0,0.55,2.73,4.37,0,0,0.55,0,0,0,0,0,0.55,3.28,0.55,0,0,0,1.09
