stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Osteoblast
72hpf,0,0,0,0,1.07,3.21,0
21Day,8.03,0,0,0,4.02,0,1.34
22Month,0,0.55,0.55,0.55,0,0,0
