stage,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,2.68,0,0
3Month,0.32,0.32,0.32,0,0,0.32,6.72,0.64,0.32
22Month,0.55,2.19,0.55,0.55,0.55,0,0,0,0.55
