stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,3.21,0,1.07,0,0,5.35,1.07,0,1.07,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,6.69,0,1.34,0,0,2.68,0,0,0,0,1.34,0,0
3Month,0,0,0,1.92,0.32,0.64,0,4.16,0.64,0.64,2.24,0.64,0,0,0,0,0,0,0,0,0,0.32,0.32
22Month,0,0.55,0.55,1.09,0,1.09,3.28,29.52,2.73,2.73,0.55,3.28,1.64,0.55,1.09,0,0,0.55,0,1.09,0,0,0
