stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,2.14,1.07,6.42,0,0,1.07,0,0,0,0,1.07,0,2.14,0,3.21,0,0,0,0,2.14,3.21,0,0,0,0,0,0,0,0,0,0
21Day,5.35,0,0,57.56,0,20.08,0,6.69,0,0,1.34,2.68,1.34,17.4,2.68,9.37,14.72,2.68,8.03,0,0,0,5.35,2.68,0,0,0,5.35,0,1.34,1.34,0,0,4.02
3Month,0,3.84,2.24,56.95,0.32,0,3.2,0.32,15.68,3.84,0,35.83,12.48,1.6,28.16,5.44,8.64,14.72,4.48,0,5.76,3.52,1.28,0.32,2.88,0.32,0,0,1.92,6.4,0.32,2.88,1.6,12.16
22Month,1.09,12.57,3.28,36.63,0,0,1.09,0.55,14.21,8.2,10.39,82.54,12.57,10.93,42.64,4.37,2.19,19.13,13.67,4.37,9.29,0.55,2.19,0,5.47,0.55,2.19,1.09,0.55,22.96,1.09,2.19,0,7.11
